Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date
NY-CMP-1000,Social Media,College Students,21.00,"WhatsApp, YouTube",57804.00,6156.00,3616.00,2355.00,1867515.00,111.03,6.14,Hindi,20.98,College Students,29-04-2025
NY-CMP-1001,Paid Ads,Tier 2 City Customers,18.00,YouTube,91801.00,3321.00,1971.00,1357.00,1046247.00,180.83,3.26,Hindi,7.24,College Students,04-06-2025
NY-CMP-1002,Influencer,Youth,23.00,"WhatsApp, Google, YouTube",15536.00,2182.00,952.00,755.00,197055.00,90.60,1.88,English,25.03,College Students,14-01-2025
NY-CMP-1003,Email,Working Women,18.00,"YouTube, Facebook, Instagram",88114.00,8413.00,2231.00,947.00,376906.00,249.07,0.60,Hindi,13.15,College Students,06-04-2025
NY-CMP-1004,Paid Ads,College Students,10.00,"Facebook, Instagram",96871.00,3743.00,2060.00,1258.00,518296.00,228.60,0.80,Hindi,7.29,Tier 2 City Customers,29-12-2024
NY-CMP-1005,Influencer,Youth,26.00,"Email, Instagram",83919.00,7497.00,2061.00,1555.00,877020.00,137.79,3.09,Hindi,13.24,Premium Shoppers,23-09-2024
NY-CMP-1006,Paid Ads,College Students,21.00,"YouTube, Google, WhatsApp",82267.00,5534.00,1873.00,1386.00,633402.00,210.17,1.17,Tamil,10.69,Youth,09-01-2024
NY-CMP-1007,Social Media,Working Women,6.00,"Instagram, WhatsApp, Google",32482.00,2665.00,1488.00,925.00,326525.00,147.29,1.40,Hindi,15.63,Tier 2 City Customers,31-05-2025
NY-CMP-1008,Influencer,Premium Shoppers,27.00,"Facebook, WhatsApp, Email",73813.00,8680.00,5031.00,2551.00,1058665.00,87.74,3.73,Hindi,22.03,Tier 2 City Customers,24-03-2025
NY-CMP-1009,Social Media,College Students,11.00,Email,88895.00,6284.00,1600.00,858.00,603174.00,269.82,1.61,Hindi,9.83,Youth,29-04-2025
NY-CMP-1010,SEO,Working Women,5.00,"Google, Instagram",59141.00,1556.00,580.00,221.00,121550.00,357.66,0.54,Hindi,3.99,Working Women,26-10-2024
NY-CMP-1011,SEO,Youth,7.00,"Facebook, YouTube",39696.00,5623.00,1136.00,661.00,286874.00,163.52,1.65,Hindi,18.69,Premium Shoppers,21-12-2024
NY-CMP-1012,Email,Youth,29.00,"Email, Instagram, Facebook",20080.00,570.00,258.00,183.00,128466.00,462.62,0.52,Bengali,5.03,Working Women,30-09-2024
NY-CMP-1013,SEO,Youth,14.00,Email,96303.00,3749.00,1785.00,940.00,441800.00,282.05,0.67,Tamil,6.72,Premium Shoppers,29-10-2024
NY-CMP-1014,Paid Ads,Premium Shoppers,5.00,Instagram,38072.00,2591.00,1542.00,769.00,240697.00,369.75,-0.15,Bengali,12.88,College Students,07-06-2024
NY-CMP-1015,Paid Ads,Working Women,23.00,"Facebook, Instagram, Email",28714.00,1511.00,441.00,158.00,33654.00,1648.61,-0.87,Hindi,7.35,Premium Shoppers,10-06-2024
NY-CMP-1016,SEO,College Students,27.00,WhatsApp,73474.00,4886.00,2344.00,1055.00,263750.00,272.28,-0.08,English,11.28,College Students,18-12-2024
NY-CMP-1017,Paid Ads,Premium Shoppers,28.00,"Google, YouTube, Instagram",57060.00,1659.00,928.00,346.00,187186.00,448.86,0.21,Hindi,5.14,Premium Shoppers,19-04-2025
NY-CMP-1018,SEO,Tier 2 City Customers,7.00,WhatsApp,49784.00,1510.00,594.00,440.00,261800.00,115.42,4.16,Tamil,5.11,Working Women,18-01-2025
NY-CMP-1019,Paid Ads,College Students,21.00,Instagram,55317.00,7847.00,1736.00,1079.00,715377.00,174.65,2.80,English,19.27,Tier 2 City Customers,16-02-2025
NY-CMP-1020,Paid Ads,Premium Shoppers,27.00,"Google, YouTube",10678.00,1217.00,524.00,163.00,111981.00,1124.19,-0.39,Bengali,17.83,Youth,27-08-2024
NY-CMP-1021,SEO,Working Women,22.00,"Instagram, YouTube, Google",27990.00,3508.00,761.00,385.00,155540.00,516.25,-0.22,Hindi,16.63,Youth,30-01-2025
NY-CMP-1022,Email,Working Women,9.00,"WhatsApp, YouTube",74423.00,3139.00,1622.00,1149.00,629652.00,89.52,5.12,Bengali,7.94,Premium Shoppers,02-03-2025
NY-CMP-1023,SEO,Working Women,9.00,"Google, Email, WhatsApp",77708.00,4985.00,1363.00,916.00,632040.00,120.36,4.73,Bengali,9.35,Tier 2 City Customers,05-07-2025
NY-CMP-1024,SEO,Working Women,21.00,"YouTube, Facebook",89970.00,10679.00,4140.00,3003.00,1537536.00,69.87,6.33,English,19.81,Working Women,03-10-2025
NY-CMP-1025,SEO,Working Women,25.00,"Google, Facebook",96295.00,8911.00,2116.00,872.00,441232.00,148.17,2.41,Hindi,12.36,Tier 2 City Customers,17-11-2024
NY-CMP-1026,Influencer,Working Women,29.00,"Google, Instagram, WhatsApp",59234.00,4994.00,1531.00,892.00,226568.00,270.76,-0.06,Tamil,12.52,College Students,16-10-2024
NY-CMP-1027,Social Media,Working Women,15.00,YouTube,74702.00,10110.00,5298.00,2481.00,1220652.00,49.62,8.91,Tamil,23.95,Premium Shoppers,02-10-2025
NY-CMP-1028,Paid Ads,Youth,15.00,"Instagram, Google, YouTube",26353.00,3943.00,1879.00,746.00,458044.00,214.56,1.86,Tamil,24.92,College Students,30-03-2025
NY-CMP-1029,Email,Youth,26.00,"WhatsApp, Instagram, Email",16978.00,1079.00,372.00,164.00,56908.00,1784.37,-0.81,English,9.51,Youth,24-07-2024
NY-CMP-1030,SEO,College Students,18.00,YouTube,92924.00,9525.00,4340.00,2242.00,652422.00,27.28,9.67,English,17.33,Youth,17-03-2025
NY-CMP-1031,SEO,Working Women,7.00,"Email, Facebook, WhatsApp",96549.00,13114.00,3791.00,1202.00,366610.00,74.34,3.10,Hindi,18.75,Premium Shoppers,06-04-2025
NY-CMP-1032,Social Media,Premium Shoppers,17.00,"Instagram, WhatsApp, Facebook",72628.00,6488.00,1923.00,1181.00,243286.00,231.17,-0.11,Tamil,13.21,Premium Shoppers,05-09-2025
NY-CMP-1033,Social Media,Youth,19.00,"WhatsApp, Google, YouTube",61270.00,3309.00,1588.00,582.00,346872.00,320.86,0.86,English,8.94,Youth,31-12-2024
NY-CMP-1034,SEO,College Students,22.00,"Email, Facebook, YouTube",29199.00,1719.00,704.00,274.00,101928.00,727.09,-0.49,Tamil,9.24,Working Women,07-05-2024
NY-CMP-1035,Paid Ads,College Students,11.00,"Google, Facebook, WhatsApp",19637.00,478.00,236.00,173.00,108471.00,498.50,0.26,Tamil,4.52,Tier 2 City Customers,10-12-2024
NY-CMP-1036,Influencer,Premium Shoppers,19.00,"Facebook, Instagram, Email",23746.00,1503.00,747.00,458.00,101218.00,229.15,-0.04,Hindi,11.40,Tier 2 City Customers,12-07-2024
NY-CMP-1037,Paid Ads,Tier 2 City Customers,6.00,"Facebook, YouTube, Email",53926.00,7219.00,1902.00,1105.00,339235.00,221.64,0.39,Bengali,18.96,Youth,18-10-2024
NY-CMP-1038,Influencer,Premium Shoppers,6.00,Email,35806.00,2631.00,999.00,365.00,198925.00,362.79,0.50,English,11.16,Youth,22-03-2025
NY-CMP-1039,Email,Premium Shoppers,6.00,"Facebook, YouTube, Instagram",31729.00,2418.00,773.00,403.00,207142.00,400.55,0.28,Bengali,11.33,Youth,21-10-2024
NY-CMP-1040,Influencer,Premium Shoppers,29.00,Email,10338.00,864.00,412.00,299.00,127075.00,438.17,-0.03,English,15.24,Tier 2 City Customers,15-09-2024
NY-CMP-1041,Paid Ads,Tier 2 City Customers,7.00,"Instagram, WhatsApp, Facebook",96095.00,12738.00,6327.00,2845.00,631590.00,56.36,2.94,Bengali,22.80,College Students,23-03-2025
NY-CMP-1042,Influencer,Premium Shoppers,7.00,"WhatsApp, YouTube, Instagram",96219.00,11237.00,5367.00,3599.00,910547.00,68.47,2.69,Hindi,21.00,Working Women,31-08-2024
NY-CMP-1043,Influencer,Premium Shoppers,30.00,YouTube,37002.00,2753.00,979.00,780.00,371280.00,123.02,2.87,Tamil,12.19,College Students,29-05-2025
NY-CMP-1044,SEO,College Students,29.00,"Google, Instagram",65776.00,4977.00,1606.00,901.00,370311.00,74.44,4.52,Bengali,11.38,Tier 2 City Customers,26-04-2025
NY-CMP-1045,Social Media,Tier 2 City Customers,12.00,WhatsApp,57520.00,3932.00,2101.00,1431.00,1027458.00,128.93,4.57,English,12.98,Premium Shoppers,24-08-2024
NY-CMP-1046,Email,Working Women,24.00,"Facebook, WhatsApp, Google",52752.00,5831.00,3299.00,2095.00,509085.00,139.77,0.74,Bengali,21.28,Youth,08-05-2024
NY-CMP-1047,Social Media,College Students,5.00,YouTube,14944.00,1268.00,482.00,318.00,104304.00,319.84,0.03,Hindi,13.84,Working Women,04-02-2025
NY-CMP-1048,Email,Youth,22.00,Instagram,53290.00,3905.00,1034.00,535.00,344540.00,131.77,3.89,Tamil,10.27,Working Women,22-08-2024
NY-CMP-1049,SEO,Working Women,14.00,Google,41687.00,2215.00,911.00,568.00,358408.00,277.67,1.27,English,8.86,Working Women,03-04-2025
NY-CMP-1050,Paid Ads,Working Women,30.00,"WhatsApp, Facebook",67932.00,9449.00,5194.00,3230.00,839800.00,33.28,6.81,English,26.31,Working Women,11-04-2024
NY-CMP-1051,Email,Tier 2 City Customers,16.00,"Google, YouTube",78991.00,6551.00,3460.00,2657.00,810385.00,49.89,5.11,Hindi,16.04,Premium Shoppers,16-04-2025
NY-CMP-1052,Social Media,Working Women,12.00,"Facebook, Instagram, WhatsApp",97822.00,5691.00,2022.00,1271.00,579576.00,210.15,1.17,Bengali,9.18,Premium Shoppers,15-11-2024
NY-CMP-1053,Email,Tier 2 City Customers,14.00,"YouTube, Facebook, Email",77985.00,6461.00,3033.00,1379.00,995638.00,180.50,3.00,English,13.94,Premium Shoppers,08-07-2024
NY-CMP-1054,Paid Ads,Working Women,12.00,"Google, YouTube, Instagram",82079.00,2124.00,1057.00,472.00,232224.00,620.82,-0.21,Tamil,4.45,College Students,13-06-2025
NY-CMP-1055,Paid Ads,Tier 2 City Customers,16.00,Instagram,66781.00,8932.00,3662.00,1790.00,721370.00,150.42,1.68,Bengali,21.54,Premium Shoppers,18-03-2025
NY-CMP-1056,Influencer,Working Women,11.00,"Email, Facebook",72001.00,8840.00,2425.00,1271.00,846486.00,54.74,11.17,English,17.41,Tier 2 City Customers,27-07-2024
NY-CMP-1057,Email,Youth,27.00,"WhatsApp, YouTube",43454.00,5590.00,1836.00,1046.00,343088.00,182.35,0.80,Hindi,19.50,Tier 2 City Customers,12-03-2024
NY-CMP-1058,Influencer,College Students,28.00,"Instagram, Google",24558.00,1700.00,671.00,326.00,235698.00,189.39,2.82,Tamil,10.98,Tier 2 City Customers,13-02-2025
NY-CMP-1059,Email,Tier 2 City Customers,12.00,"Instagram, Email, YouTube",51784.00,3169.00,1762.00,1042.00,803382.00,141.09,4.46,Bengali,11.53,Tier 2 City Customers,03-11-2025
NY-CMP-1060,SEO,Tier 2 City Customers,12.00,"YouTube, Facebook, Google",61841.00,6086.00,2165.00,1542.00,1201218.00,38.20,19.39,Bengali,15.84,College Students,01-10-2025
NY-CMP-1061,SEO,Youth,5.00,Email,80683.00,2154.00,985.00,786.00,248376.00,244.18,0.29,Bengali,4.86,Youth,30-04-2025
NY-CMP-1062,Email,Premium Shoppers,20.00,"Facebook, Instagram",82701.00,4194.00,1345.00,869.00,323268.00,230.37,0.61,Bengali,7.75,Tier 2 City Customers,09-01-2024
NY-CMP-1063,SEO,Youth,8.00,WhatsApp,80457.00,9646.00,2336.00,1659.00,643692.00,125.03,2.10,Hindi,16.95,College Students,24-02-2025
NY-CMP-1064,SEO,College Students,13.00,"YouTube, WhatsApp",34565.00,819.00,304.00,211.00,137150.00,1099.71,-0.41,Hindi,3.86,Youth,28-05-2025
NY-CMP-1065,Email,Working Women,25.00,"YouTube, Facebook, Google",41740.00,1039.00,561.00,322.00,154882.00,328.90,0.46,Tamil,4.60,Tier 2 City Customers,29-04-2025
NY-CMP-1066,Social Media,College Students,29.00,"Instagram, Google",28052.00,1240.00,513.00,377.00,166634.00,221.30,1.00,Tamil,7.59,Tier 2 City Customers,17-08-2024
NY-CMP-1067,Social Media,Youth,6.00,"WhatsApp, Facebook, YouTube",36769.00,2948.00,797.00,370.00,237170.00,576.24,0.11,Tamil,11.19,Premium Shoppers,02-06-2025
NY-CMP-1068,Email,College Students,26.00,WhatsApp,59910.00,3712.00,1431.00,951.00,427950.00,303.73,0.48,English,10.17,Working Women,25-03-2025
NY-CMP-1069,Social Media,Working Women,20.00,"Google, WhatsApp",51907.00,1717.00,484.00,275.00,137225.00,316.30,0.58,English,4.77,Premium Shoppers,07-12-2024
NY-CMP-1070,Email,Working Women,21.00,"Email, Instagram",54847.00,7764.00,3946.00,1326.00,502554.00,50.86,6.45,English,23.77,Tier 2 City Customers,26-03-2025
NY-CMP-1071,Social Media,Working Women,11.00,Google,68542.00,8178.00,3828.00,1207.00,280024.00,179.89,0.29,Hindi,19.28,Tier 2 City Customers,23-12-2024
NY-CMP-1072,Influencer,College Students,17.00,"Google, YouTube",73165.00,5735.00,2225.00,1582.00,1170680.00,143.08,4.17,Tamil,13.04,College Students,27-12-2024
NY-CMP-1073,Email,Working Women,17.00,"Instagram, YouTube",26416.00,1545.00,401.00,226.00,68478.00,395.28,-0.23,Hindi,8.22,College Students,15-09-2024
NY-CMP-1074,Email,Tier 2 City Customers,11.00,"WhatsApp, Email, Google",97611.00,7838.00,2476.00,1741.00,541451.00,164.53,0.89,Bengali,12.35,Working Women,29-08-2024
